Number	A	B	C	mX	mY	mZ	MSE
1	-0.024081180049120767	0.021183446704117058	1037.7976704672153	57302.7055952899	29992.184314009693	293.2187376811592	0.024377514477012467
10	-0.026609404522661684	0.00443357491220865	1685.0793988368089	57327.69706878748	29972.192201800768	292.50747659063603	0.028858923229207096
11	-0.03407914333393815	0.028334942616545948	1396.9527922378584	57332.70213289002	29972.18720145106	292.3636229746067	0.030863508224739447
12	-0.05080740947817727	-0.009606490501724832	3493.0560842046734	57332.68054115525	29967.18317533092	292.2516469314082	0.029932504745635694
13	-0.0004806962904617482	-0.0017354423403457685	371.69517330414226	57337.68973442031	29967.197201328498	292.12681570048306	0.030051849914658407
14	-0.013577956330536036	-0.00573815885324563	1242.6682288273	57337.690811084336	29962.18764927711	292.2117745783134	0.025281879430831405
15	-0.011321349180933577	-0.011091165996714036	1273.6551869896182	57342.69206210655	29962.19550605328	292.14286319612563	0.029720606770373418
16	-0.007890575789836533	0.007301264243363442	525.9038308190474	57342.68798478253	29957.19392004828	292.16239408212516	0.024191940107980345
17	-0.011321542164195416	0.0015741913113793925	894.184725294702	57347.6909769045	29957.186988996407	292.0787673518746	0.02709142683614737
18	-0.017298461390559065	0.007179444520644047	1069.0467121574159	57352.69434146637	29957.1915564904	292.0093382211538	0.023306907508498446
19	-0.013208941334966997	0.018520644678640293	494.8257136721284	57352.679568682026	29952.176256348263	291.9911476420799	0.03441099399179522
2	-0.034128097846935726	0.0147388157311934	1806.7883035120403	57307.69561248478	29992.195033696993	293.0350962424245	0.031125809907478152
20	0.0039157961292323904	0.008212079987652025	-178.61581770783033	57357.68796871239	29952.18695968712	291.9549499398314	0.02422484985466619
21	-0.004982810602306173	0.019021311204910248	8.050032936422493	57357.68599026772	29947.18551654501	291.88228248175176	0.028312345503377398
3	-0.029842676512023835	0.040124805518421645	799.9255181609784	57307.69441915146	29987.190774181843	292.9407298181817	0.031483170994181464
4	-0.025193198227384694	0.03169496124269018	786.2540325206526	57312.69092258457	29987.18340543477	292.8066649758456	0.02148872138037023
5	-0.01389495545123587	0.01882892144932662	524.521533411451	57312.690259371186	29982.189833494558	292.69655272067644	0.025079703143350587
6	-0.011392932988978657	0.013553306957432086	539.2638981846694	57317.69261115154	29982.19245987878	292.6051248484857	0.0199080379081444
7	-0.011820554983612466	-0.014619361743788617	1408.384336230743	57317.683273462084	29977.200770687592	292.609967430639	0.024195346704584467
8	-0.0022242355146904914	-0.0023688999727456196	491.07081140066725	57322.68956251507	29977.18873192254	292.5586879081016	0.021941070123398555
9	-0.016987428734253244	0.0021069779080256433	1203.2096157848914	57327.6866750911	29977.201824544325	292.520925880923	0.0253742658678621
